id,key,name,text,pages,Group,platform,load,created_at,updated_at
43,building.label.bin_of_preconnected_building,en,BIN of Pre-Connected Building,building,label,any,f,,
44,building.label.drain_code,en,Drain Code,building,label,any,f,,
45,building.label.building_accessible_to_desludging_vehicle,en,Building Accessible to Desludging Vehicle,building,label,any,f,,
46,building.label.containment_information,en,Containment Information,building,label,any,f,,
47,building.label.tank_length,en,Tank Length (m),building,label,any,f,,
48,building.label.tank_depth,en,Tank Depth (m),building,label,any,f,,
49,building.label.containment_construction_date,en,Containment Construction Date,building,label,any,f,,
50,building.label.functional_use,en,Functional Use,building,label,any,f,,
51,building.label.sanitation_systems,en,Sanitation Systems,building,label,any,f,,
52,building.label.emptying_status,en,Emptying Status,building,label,any,f,,
53,building.label.ward,en,Ward,building,label,any,f,,
54,building.label.bin_of_main_building,en,BIN of Main Building,building,label,any,f,,
55,building.label.use_category_of_building,en,Use Category of Building,building,label,any,f,,
56,building.label.house_image,en,House Image,building,label,any,f,,
57,building.label.population_with_private_toilet,en,Population with Private Toilet,building,label,any,f,,
58,building.label.community_toilet_name,en,Community Toilet Name,building,label,any,f,,
59,building.label.use_category,en,Use Category,building,label,any,f,,
60,building.label.construction_date_from,en,Construction Date From,building,label,any,f,,
61,building.label.construction_date_to,en,Construction Date To,building,label,any,f,,
62,building.button.view_containments_connected_to_building,en,View Containments Connected to Building,building,button,any,f,,
63,public_community_toilets.message.public_community_toilets_deleted_successfully,en,Public / Community Toilets Deleted successfully.,public_community_toilets,message,any,f,,
64,public_community_toilets.message.failed_to_delete_public_community_toilets,en,Failed to delete Public / Community Toilets.,public_community_toilets,message,any,f,,
65,public_community_toilets.message.cannot_delete_community_toilet_that_has_associated_building_information,en,Cannot delete Community Toilet that has associated Building Information.,public_community_toilets,message,any,f,,
66,public_community_toilets.message.buildings_added_to_this_toilet,en,Buildings added to this toilet.,public_community_toilets,message,any,f,,
67,public_community_toilets.message.failed_to_add_buildings,en,Failed to add buildings.,public_community_toilets,message,any,f,,
68,public_community_toilets.message.building_deleted_successfully,en,Building Deleted Successfully,public_community_toilets,message,any,f,,
69,public_community_toilets.message.failed_to_delete_building,en,Failed to delete building.,public_community_toilets,message,any,f,,
70,public_community_toilets.message.public_community_toilets_added_successfully,en,Public / Community Toilets Added Successfully.,public_community_toilets,message,any,f,,
71,public_community_toilets.message.public_community_toilets_updated_successfully,en,Public / Community Toilets Updated Successfully.,public_community_toilets,message,any,f,,
72,public_community_toilets.message.failed_to_update_ct_pt_general_info,en,Failed to update CT / PT General info.,public_community_toilets,message,any,f,,
73,ptct_users_log.message.pt_users_log_added_successfully,en,PT Users Log Added Successfully.,ptct_users_log,message,any,f,,
74,ptct_users_log.message.pt_users_log_updated_successfully,en,PT Users Log Updated successfully.,ptct_users_log,message,any,f,,
75,ptct_users_log.message.failed_to_update_info,en,Failed to update info.,ptct_users_log,message,any,f,,
76,ptct_users_log.message.pt_users_log_deleted_successfully,en,PT Users Log Deleted Successfully.,ptct_users_log,message,any,f,,
77,ptct_users_log.message.failed_to_delete_pt_users_log,en,Failed to delete PT Users Log.,ptct_users_log,message,any,f,,
78,water_samples.message.water_samples_created_successfully,en,Water Samples created successfully.,water_samples,message,any,f,,
79,water_samples.message.water_samples_updated_successfully,en,Water Samples updated successfully.,water_samples,message,any,f,,
80,water_samples.message.failed_to_update_water_samples,en,Failed to update Water Samples.,water_samples,message,any,f,,
81,water_samples.message.water_samples_information_deleted_successfully,en,Water Samples Information deleted successfully.,water_samples,message,any,f,,
82,water_samples.message.failed_to_delete_water_samples_information,en,Failed to delete Water Samples Information.,water_samples,message,any,f,,
83,waterborne_hotspot.message.waterborne_hotspot_deleted_successfully,en,Waterborne Hotspot deleted successfully.,waterborne_hotspot,message,any,f,,
84,waterborne_hotspot.message.failed_to_delete_hotspot_identification,en,Failed to delete Hotspot Identification.,waterborne_hotspot,message,any,f,,
85,waterborne_hotspot.message.waterborne_hotspot_created_successfully,en,Waterborne Hotspot created successfully.,waterborne_hotspot,message,any,f,,
86,waterborne_hotspot.message.failed_to_create_hotspot_identification,en,Failed to create Hotspot Identification.,waterborne_hotspot,message,any,f,,
87,waterborne_hotspot.message.an_error_occurred,en,An error occurred,waterborne_hotspot,message,any,f,,
88,waterborne_hotspot.message.the_selected_area_should_be_within_the_city_boundary,en,The selected area should be within the City Boundary.,waterborne_hotspot,message,any,f,,
89,waterborne_hotspot.message.waterborne_hotspot_updated_successfully,en,Waterborne Hotspot updated successfully.,waterborne_hotspot,message,any,f,,
90,waterborne_hotspot.message.failed_to_update_hotspot_identification,en,Failed to update Hotspot Identification.,waterborne_hotspot,message,any,f,,
91,waterborne_cases_information.message.waterborne_cases_information_deleted_successfully,en,Waterborne Cases Information deleted successfully.,waterborne_cases_information,message,any,f,,
92,waterborne_cases_information.message.failed_to_delete_waterborne_cases_information,en,Failed to delete Waterborne Cases information.,waterborne_cases_information,message,any,f,,
93,waterborne_cases_information.message.waterborne_cases_information_created_successfully,en,Waterborne Cases Information created successfully.,waterborne_cases_information,message,any,f,,
94,waterborne_cases_information.message.failed_to_update_yearly_waterborne,en,Failed to update Yearly Waterborne.,waterborne_cases_information,message,any,f,,
95,users.message.user_created_successfully,en,User created successfully.,users,message,any,f,,
96,users.message.user_could_not_be_created,en,User could not be created.,users,message,any,f,,
97,users.message.user_updated_successfully,en,User updated successfully.,users,message,any,f,,
98,users.message.user_could_could_be_updated,en,User could be updated.,users,message,any,f,,
99,users.message.user_deleted_successfully,en,User deleted successfully.,users,message,any,f,,
100,users.message.user_could_not_be_deleted,en,User could not be deleted.,users,message,any,f,,
101,roles.message.role_created_successfully,en,Role created successfully.,roles,message,any,f,,
102,roles.message.role_updated_successfully,en,Role updated successfully.,roles,message,any,f,,
103,roles.message.failed_to_update_role,en,Failed to update role.,roles,message,any,f,,
104,roles.message.role_deleted_successfully,en,Role deleted successfully.,roles,message,any,f,,
105,roles.message.failed_to_delete_role,en,Failed to delete role.,roles,message,any,f,,
106,map.message.cancelled,en,Cancelled,map,message,any,f,,
107,map.message.click_to_continue_drawing_the_line,en,Click to continue drawing the line.,map,message,any,f,,
108,map.message.click_to_continue_drawing_the_polygon,en,Click to continue drawing the polygon.,map,message,any,f,,
109,map.message.float_values_are_not_accepted,en,Float values are not accepted.,map,message,any,f,,
110,map.message.invalid_input,en,Invalid Input.,map,message,any,f,,
111,map.message.invalid_input_for_number_of_days,en,Invalid input for number of days!,map,message,any,f,,
112,map.message.negative_numbers_are_not_allowed,en,Negative numbers are not allowed.,map,message,any,f,,
113,map.message.no_results_found,en,No Results Found.,map,message,any,f,,
114,map.message.number_of_applications_on,en,Number of applications on,map,message,any,f,,
115,map.message.number_of_containments_proposed_to_be_emptied_in_the_next_few_days,en,Number of containments proposed to be emptied in the next few days:,map,message,any,f,,
116,map.message.number_of_containments_proposed_to_be_emptied_next_week,en,Number of containments proposed to be emptied next week:,map,message,any,f,,
117,map.message.number_of_containments_proposed_to_be_emptied_on,en,Number of containments proposed to be emptied on,map,message,any,f,,
118,map.message.please_check_one_or_more_options,en,Please check one or more options!,map,message,any,f,,
119,map.message.please_draw_a_roadline_before_saving,en,Please draw a roadline before saving!,map,message,any,f,,
120,map.message.please_enter,en,Please enter.,map,message,any,f,,
121,map.message.please_enter_a_valid_buffer_distance,en,Please enter a valid Buffer Distance.,map,message,any,f,,
122,map.message.road_network_updated_successfully,en,Road Network updated successfully.,map,message,any,f,,
123,map.message.road_added_successfully,en,Road(s) added successfully.,map,message,any,f,,
124,building_dashboard.name.building_dashboard,en,Building Dashboard,building_dashboard,name,any,f,,
125,building_dashboard.countbox.total_buildings,en,Total Buildings,building_dashboard,countbox,any,f,,
126,building_dashboard.countbox.residential,en,Residential,building_dashboard,countbox,any,f,,
127,building_dashboard.countbox.commercial,en,Commercial,building_dashboard,countbox,any,f,,
128,building_dashboard.countbox.industrial,en,Industrial,building_dashboard,countbox,any,f,,
129,building_dashboard.countbox.mixed,en,Mixed,building_dashboard,countbox,any,f,,
130,building_dashboard.countbox.institution,en,Institution,building_dashboard,countbox,any,f,,
131,building_dashboard.countbox.educational,en,Educational,building_dashboard,countbox,any,f,,
132,building_dashboard.countbox.septic_tank,en,Septic Tank,building_dashboard,countbox,any,f,,
133,building_dashboard.countbox.pit_holding_tank,en,Pit/Holding Tank,building_dashboard,countbox,any,f,,
134,building_dashboard.countbox.onsite_treatment,en,Onsite Treatment,building_dashboard,countbox,any,f,,
135,building_dashboard.countbox.composting_toilets,en,Composting Toilet,building_dashboard,countbox,any,f,,
136,building_dashboard.countbox.shared_toilets,en,Shared Toilets,building_dashboard,countbox,any,f,,
137,building_dashboard.charts.wardwise_distribution_of_buildings,en,Wardwise Distribution of Buildings,building_dashboard,charts,any,f,,
138,building_dashboard.charts.building_use_composition,en,Building Use Composition,building_dashboard,charts,any,f,,
139,building_survey.building.building_survey,en,Building Survey,building_survey,building,any,f,,
140,building_survey.label.survey_date,en,Survey Date,building_survey,label,any,f,,
141,building_survey.button.approve_building_structure,en,Approve Building Structure,building_survey,button,any,f,,
142,building_survey.button.preview_building_location,en,Preview Building Location,building_survey,button,any,f,,
143,building_survey.button.download_building_kml_file,en,Download Building KML File,building_survey,button,any,f,,
144,map.message.roads_added_would_be_lost,en,Roads added would be lost!,map,message,any,f,,
145,map.message.saved,en,Saved!,map,message,any,f,,
146,map.message.unsupported_format,en,Unsupported format:,map,message,any,f,,
147,general.message.confirm_password,en,Confirm Password,general,message,any,f,,
148,general.message.the_status_is_required,en,The Status is required.,general,message,any,f,,
149,general.message.the_password_is_required_when_create_user_is_on,en,The Password is required when create user is on.,general,message,any,f,,
150,general.message.the_confirm_password_does_not_match_the_password,en,The Confirm Password does not match the Password.,general,message,any,f,,
151,low_income_community.name.low_income_community,en,Low Income Community,low_income_community,name,any,f,,
152,low_income_community.button.add_low_income_community,en,Add Low Income Community,low_income_community,button,any,f,,
153,low_income_community.name.edit_low_income_community,en,Edit Low Income Community,low_income_community,name,any,f,,
154,low_income_community.name.low_income_community_details,en,Low Income Community Details,low_income_community,name,any,f,,
155,low_income_community.label.community_name,en,Community Name,low_income_community,label,any,f,,
156,low_income_community.label.no_of_buildings,en,No. of Buildings,low_income_community,label,any,f,,
157,low_income_community.label.population,en,Population,low_income_community,label,any,f,,
158,low_income_community.label.no_of_households,en,No. of Households,low_income_community,label,any,f,,
159,low_income_community.label.no_of_septic_tanks,en,No. of Septic Tanks,low_income_community,label,any,f,,
160,low_income_community.label.no_of_holding_tanks,en,No. of Holding Tanks,low_income_community,label,any,f,,
161,low_income_community.label.no_of_pits,en,No. of Pits,low_income_community,label,any,f,,
162,low_income_community.label.no_of_sewer_connection,en,No. of Sewer Connections,low_income_community,label,any,f,,
163,low_income_community.label.no_of_community_toilets,en,No. of Community Toilets,low_income_community,label,any,f,,
164,low_income_community.label.area,en,Area,low_income_community,label,any,f,,
165,general.message.are_you_sure,en,Are you sure?,general,message,any,f,,
166,general.message.you_won't_be_able_to_revert_this,en,You won't be able to revert this!,general,message,any,f,,
167,general.message.yes_delete_it,en,"Yes, delete it!",general,message,any,f,,
168,general.message.the_name_field_should_contain_only_contain_letters_and_spaces,en,The name field should contain only contain letters and spaces.,general,message,any,f,,
169,general.message.the_length_must_be_a_number,en,The Length (m) must be a number.,general,message,any,f,,
170,general.message.the_diameter_must_be_a_number,en,The Diameter must be a number.,general,message,any,f,,
171,building.validation.owner_name_is_required,en,Owner Name is required.,building,validation,any,f,,
172,building.validation.owner_contact_should_be_integer_value,en,Owner Contact should be integer value.,building,validation,any,f,,
173,building.validation.owner_gender_is_required,en,Owner Gender is required.,building,validation,any,f,,
174,building.validation.owner_contact_number_is_required,en,Owner Contact Number is required.,building,validation,any,f,,
175,building.validation.the_main_building_is_required,en,The Main Building is required.,building,validation,any,f,,
176,building.validation.the_bin_of_main_building_is_required,en,The BIN of Main Building is required.,building,validation,any,f,,
177,building.validation.ward_number_is_required,en,Ward Number is required.,building,validation,any,f,,
178,building.validation.number_of_floors_is_required,en,Number of Floors is required.,building,validation,any,f,,
179,building.validation.tax_code_holding_id_is_required,en,Tax Code/Holding ID is required.,building,validation,any,f,,
180,building.validation.road_code_is_required,en,Road Code is required.,building,validation,any,f,,
181,building.validation.structure_type_is_required,en,Structure Type is required.,building,validation,any,f,,
182,building.validation.functional_use_of_building_is_required,en,Functional Use of Building is required.,building,validation,any,f,,
183,building.validation.the_house_number_is_already_taken,en,The House Number is Already Taken.,building,validation,any,f,,
184,building.validation.the_main_building_status_required,en,The Main Building status required.,building,validation,any,f,,
185,building.validation.the_house_number_is_taken,en,The House Number is Taken.,building,validation,any,f,,
186,building.validation.the_differently_abled_male_population_must_not_exceed_the_male_population,en,The Differently Abled Male Population must not exceed the Male Population.,building,validation,any,f,,
187,building.validation.the_differently_abled_female_population_must_not_exceed_the_female_population,en,The Differently Abled Female Population must not exceed the Female Population.,building,validation,any,f,,
188,building.validation.the_differently_abled_other_population_must_not_exceed_the_other_population,en,The Differently Abled Other Population must not exceed the Other Population.,building,validation,any,f,,
189,building.validation.building_construction_date_is_required,en,Building Construction Date is required.,building,validation,any,f,,
190,building.validation.is_low_income_house_is_required,en,Is Low Income House is required.,building,validation,any,f,,
191,building.validation.lic_name_is_required,en,LIC Name is required.,building,validation,any,f,,
192,containments.name.containments,en,Containments,containments,name,any,f,,
193,containments.name.edit_containments,en,Edit Containments,containments,name,any,f,,
194,containments.name.containments_details,en,Containments Details,containments,name,any,f,,
195,emptying_operator.label.(max_5mb),en,(Max 5MB),emptying operator,label,mobile,f,,
196,containments.label.bin_of_connected_building,en,BIN of Connected Building,containments,label,any,f,,
197,containments.label.containment_location,en,Containment Location,containments,label,any,f,,
198,containments.label.containment_type,en,Containment Type,containments,label,any,f,,
199,containments.label.septic_tank_standard_compliance,en,Septic Tank Standard Compliance,containments,label,any,f,,
200,containments.label.house_number_of_connected_building,en,House Number of Connected Building,containments,label,any,f,,
201,containments.label.pit_shape,en,Pit Shape,containments,label,any,f,,
202,containments.button.export_buildings_containments_to_csv,en,Export Buildings-Containments to CSV,containments,button,any,f,,
203,containments.button.view_building_connected_to_containment,en,View Building Connected to Containment,containments,button,any,f,,
204,containments.button.type_change_history,en,Type Change History,containments,button,any,f,,
205,containments.button.emptying_service_history,en,Emptying Service History,containments,button,any,f,,
206,building.validation.main_drinking_water_source_is_required,en,Main Drinking Water Source is required.,building,validation,any,f,,
207,building.validation.water_supply_pipe_line_code_is_required,en,Water Supply Pipe Line Code is required.,building,validation,any,f,,
208,building.validation.presence_of_toilet_is_required,en,Presence of Toilet is required.,building,validation,any,f,,
209,building.validation.community_toilet_name_is_required,en,Community Toilet Name is required.,building,validation,any,f,,
210,building.validation.building_footprint_is_required,en,Building Footprint (KML) is required.,building,validation,any,f,,
211,building.validation.number_of_floors_should_be_numeric_value,en,Number of Floors should be numeric value.,building,validation,any,f,,
212,building.validation.use_category_of_building_is_required,en,Use Category of Building is required.,building,validation,any,f,,
213,building.validation.tank_depth_should_be_numeric_value,en,Tank Depth should be numeric value.,building,validation,any,f,,
214,fsm_dashboard.name.fsm_servies,en,FSM Servies,fsm_dashboard,name,any,f,,
215,fsm_dashboard.countbox.applications,en,Applications,fsm_dashboard,countbox,any,f,,
216,fsm_dashboard.countbox.applications_responded,en,Applications Responded,fsm_dashboard,countbox,any,f,,
217,fsm_dashboard.countbox.number_of_containments_emptied,en,Number of Containments Emptied,fsm_dashboard,countbox,any,f,,
218,fsm_dashboard.countbox.volume_of_sludge_emptied,en,Volume of Sludge Emptied (m³),fsm_dashboard,countbox,any,f,,
219,fsm_dashboard.countbox.volume_of_sludge_disposed_on_fstp,en,Volume of sludge disposed on FSTP (m³),fsm_dashboard,countbox,any,f,,
220,fsm_dashboard.countbox.revenue_generated,en,Revenue Generated,fsm_dashboard,countbox,any,f,,
221,fsm_dashboard.charts.proportion_of_different_containment_types,en,Proportion of Different Containment Types,fsm_dashboard,charts,any,f,,
222,fsm_dashboard.charts.wardwise_distribution_of_containment_types,en,Wardwise Distribution of Containment Types,fsm_dashboard,charts,any,f,,
223,fsm_dashboard.charts.wardwise_distribution_of_containment_types_in_residential_buildings,en,Wardwise Distribution of Containment Types in Residential Buildings,fsm_dashboard,charts,any,f,,
224,fsm_dashboard.charts.containment_types_categorized_by_building_usage,en,Containment Types Categorized by Building Usage,fsm_dashboard,charts,any,f,,
225,fsm_dashboard.charts.containment_types_categorized_by_land_use,en,Containment Types Categorized by Land Use,fsm_dashboard,charts,any,f,,
226,fsm_dashboard.charts.summary_of_applications_emptying_services_sludge_disposal_and_feedback_by_ward,en,"Summary of Applications, Emptying Services, Sludge Disposal, and Feedback by Ward",fsm_dashboard,charts,any,f,,
227,fsm_dashboard.charts.distribution_of_emptying_requests_by_structure_types,en,Distribution of Emptying Requests by Structure Types,fsm_dashboard,charts,any,f,,
228,fsm_dashboard.charts.comparison_of_emptying_requests_from_low_income_and_other_communities,en,Comparison of Emptying Requests from Low Income and Other Communities,fsm_dashboard,charts,any,f,,
229,fsm_dashboard.charts.monthly_emptying_requests_processed_by_service_providers,en,Monthly Emptying Requests Processed by Service Providers,fsm_dashboard,charts,any,f,,
230,fsm_dashboard.charts.emptying_requests_for_the_next_four_weeks,en,Emptying Requests for the Next Four Weeks,fsm_dashboard,charts,any,f,,
231,fsm_dashboard.charts.wardwise_distribution_of_emptying_requests_for_the_next_four_weeks,en,Wardwise Distribution of Emptying Requests for the Next Four Weeks,fsm_dashboard,charts,any,f,,
232,fsm_dashboard.charts.customer_satisfaction_with_fsm_service_quality,en,Customer Satisfaction with FSM Service Quality,fsm_dashboard,charts,any,f,,
233,fsm_dashboard.charts.sanitation_worker_compliance_with_ppe_guidelines,en,Sanitation Worker Compliance with PPE Guidelines,fsm_dashboard,charts,any,f,,
234,fsm_dashboard.charts.sludge_collection_trends_by_Treatment_plants_over_the_last_5_years,en,Sludge Collection Trends by Treatment Plants Over the Last 5 Years,fsm_dashboard,charts,any,f,,
235,fsm_dashboard.charts.containment_type_wise_emptying_services_over_the_last_5_years,en,Containment Type wise Emptying Services Over the Last 5 Years,fsm_dashboard,charts,any,f,,
236,service_providers.name.service_providers,en,Service Providers,service_providers,name,any,f,,
237,service_providers.button.add_service_provider,en,Add Service Provider,service_providers,button,any,f,,
238,service_providers.name.edit_service_provider,en,Edit Service Provider,service_providers,name,any,f,,
239,service_providers.name.service_providers_details,en,Service Providers Details,service_providers,name,any,f,,
240,service_providers.label.company_name,en,Company Name,service_providers,label,any,f,,
241,service_providers.label.address,en,Address,service_providers,label,any,f,,
242,service_providers.label.contact_person_name,en,Contact Person Name,service_providers,label,any,f,,
243,service_providers.label.customer_feedback,en,Customer Feedback,service_providers,label,any,f,,
244,service_providers.label.contact_person_gender,en,Contact Person Gender,service_providers,label,any,f,,
245,service_providers.label.contact_person_number,en,Contact Person Number,service_providers,label,any,f,,
246,building.validation.tank_length_should_be_numeric_value,en,Tank Length should be numeric value.,building,validation,any,f,,
247,building.validation.tank_width_should_be_numeric_value,en,Tank Width should be numeric value.,building,validation,any,f,,
248,building.validation.pit_depth_should_be_numeric_value,en,Pit Depth should be numeric value.,building,validation,any,f,,
249,building.validation.pit_diameter_should_be_integer_value,en,Pit Diameter should be integer value.,building,validation,any,f,,
250,building.validation.containment_volume_should_be_numeric_value,en,Containment Volume should be numeric value.,building,validation,any,f,,
251,building.validation.number_of_floors_should_be_positive_and_nonzero_value,en,Number of Floors should be positive and non-zero value.,building,validation,any,f,,
252,building.validation.household_with_private_toilet_must_not_exceed_the_number_of_households,en,Household with Private Toilet must not exceed the Number of Households.,building,validation,any,f,,
253,building.validation.population_with_private_toilet_must_not_exceed_the_population_of_building,en,Population with Private Toilet must not exceed the Population of Building.,building,validation,any,f,,
254,building.validation.number_of_toilets_should_be_at_least_1,en,Number of Toilets should be at least 1.,building,validation,any,f,,
255,building.validation.number_of_toilets_should_be_integer_value,en,Number of Toilets should be integer value.,building,validation,any,f,,
256,building.validation.number_of_toilets_is_required,en,Number of Toilets is required.,building,validation,any,f,,
257,building.validation.number_of_households_is_required,en,Number of Households is required.,building,validation,any,f,,
258,building.validation.population_of_building_is_required,en,Population of Building is required.,building,validation,any,f,,
259,building.validation.number_of_household_should_be_integer_value,en,Number of Household should be integer value.,building,validation,any,f,,
260,building.validation.number_of_population_should_be_integer_value,en,Number of Population should be integer value.,building,validation,any,f,,
261,desludging_vehicles.name.desludging_vehicles,en,Desludging Vehicles,desludging_vehicles,name,any,f,,
262,desludging_vehicles.bitton.add_desludging_vehicle,en,Add Desludging Vehicle,desludging_vehicles,bitton,any,f,,
263,desludging_vehicles.name.edit_desludging_vehicle,en,Edit Desludging Vehicle,desludging_vehicles,name,any,f,,
264,desludging_vehicles.name.desludging_vehicles_details,en,Desludging Vehicles Details,desludging_vehicles,name,any,f,,
265,desludging_vehicles.label.service_provider,en,Service Provider,desludging_vehicles,label,any,f,,
266,desludging_vehicles.label.vehicle_license_plate_number,en,Vehicle License Plate Number,desludging_vehicles,label,any,f,,
267,desludging_vehicles.label.width_m,en,Width (m),desludging_vehicles,label,any,f,,
268,desludging_vehicles.label.comply_with_maintenance_standards,en,Comply with Maintenance Standards,desludging_vehicles,label,any,f,,
269,desludging_vehicles.label.status,en,Status?,desludging_vehicles,label,any,f,,
270,desludging_vehicles.label.description,en,Description,desludging_vehicles,label,any,f,,
271,building.validation.distance_of_containment_from_well_should_be_integer_value,en,Distance of containment from well should be integer value.,building,validation,any,f,,
272,building.validation.distance_of_containment_from_well_should_be_positive_value,en,Distance of containment from well should be positive value.,building,validation,any,f,,
273,building.validation.tank_depth_should_be_positive_value,en,Tank depth should be positive value.,building,validation,any,f,,
274,building.validation.tank_length_should_be_positive_value,en,Tank length should be positive value.,building,validation,any,f,,
275,building.validation.tank_width_count_should_be_positive_value,en,Tank width Count should be positive value.,building,validation,any,f,,
276,building.validation.pit_depth_should_be_positive_value,en,Pit Depth should be positive value.,building,validation,any,f,,
277,building.validation.pit_diameter_count_should_be_positive_value,en,Pit Diameter Count should be positive value.,building,validation,any,f,,
278,building.validation.containment_volume_should_be_positive_value,en,Containment Volume should be positive value.,building,validation,any,f,,
279,building.validation.cant_select_future_value,en,Cant Select Future Value.,building,validation,any,f,,
280,building.validation.toilet_connection_is_required,en,Toilet Connection is required.,building,validation,any,f,,
281,Treatment_plants.heading.Treatment_plants,en,Treatment Plants,treatment_plants,heading,any,f,,
282,Treatment_plants.button.add_treatment_plants,en,Add Treatment Plant,treatment_plants,button,any,f,,
283,Treatment_plants.heading.edit_treatment_plants,en,Edit Treatment Plants,treatment_plants,heading,any,f,,
284,Treatment_plants.heading.Treatment_plants_details,en,Treatment Plants Details,treatment_plants,heading,any,f,,
285,Treatment_plants.label.treatment_plants_type,en,Treatment Plant Type,treatment_plants,label,any,f,,
286,Treatment_plants.label.capacity_per_day_m,en,Capacity per Day(m³),treatment_plants,label,any,f,,
287,Treatment_plants.label.caretaker_name,en,Caretaker Name,treatment_plants,label,any,f,,
288,Treatment_plants.label.caretaker_gender,en,Caretaker Gender,treatment_plants,label,any,f,,
289,Treatment_plants.label.caretaker_number,en,Caretaker Number,treatment_plants,label,any,f,,
290,Treatment_plants.label.click_to_set_latitude_and_longitude,en,Click to set Latitude and Longitude,treatment_plants,label,any,f,,
291,Treatment_plants.label.create_user,en,Create User?,treatment_plants,label,any,f,,
292,building.validation.containment_type_is_required_when_toilet_connection_septic_or_pit_holding,en,Containment Type is required when Toilet Connection Septic or Pit/Holding.,building,validation,any,f,,
293,building.validation.defecation_place_is_required,en,Defecation Place is required.,building,validation,any,f,,
294,building.validation.bin_of_preconnected_building_is_required,en,BIN of Pre-Connected Building is required.,building,validation,any,f,,
295,building.validation.pit_shape_is_required,en,Pit shape is required.,building,validation,any,f,,
296,building_survey.validation.the_temporary_building_code_is_already_registered,en,The Temporary Building Code is already registered.,building_survey,validation,any,f,,
297,building_survey.validation.the_temporary_building_code_is_required,en,The Temporary Building Code is required.,building_survey,validation,any,f,,
298,building_survey.validation.the_temporary_building_code_should_be_string,en,The Temporary Building Code should be string.,building_survey,validation,any,f,,
299,building_survey.validation.the_tax_code_should_be_string,en,The tax code should be string.,building_survey,validation,any,f,,
300,building_survey.validation.the_tax_code_is_required,en,The tax code is required.,building_survey,validation,any,f,,
301,building_survey.validation.collected_date_is_required,en,Collected date is required.,building_survey,validation,any,f,,
302,building_survey.validation.collected_date_should_be_in_yyyymmdd_date_format,en,Collected date should be in YYYY-MM-DD date format.,building_survey,validation,any,f,,
303,low_income_community.validation.the_community_name_is_required,en,The Community Name is required.,low_income_community,validation,any,f,,
304,low_income_community.validation.the_no_of_buildings_is_required,en,The No. of Buildings is required.,low_income_community,validation,any,f,,
305,performance_efficiency_test.name.performance_efficiency_test,en,Performance Efficiency Test,performance_efficiency_test,name,any,f,,
