id,key,name,text,pages,Group,platform,load,translated_text
29,building.label.located_in_lic,en,Located In LIC,building,label,any,f,न्यून आय भएको क्षेत्रमा रहेको
30,building.label.water_source_information,en,Water Source Information,building,label,any,f,खानेपानीको स्रोत जानकारी
31,building.label.main_drinking_water_source,en,Main Drinking Water Source,building,label,any,f,खानेपानीको मुख्य स्रोत
32,building.label.well_in_premises,en,Well in Premises,building,label,any,f,घर परिसरमा इनार
33,building.label.distance_of_well_from_closest_containment,en,Distance of Well from Closest Containment (m),building,label,any,f,इनार र नजिकको संकलन ट्याङ्की बीचको दूरी (मी.)
34,building.label.solid_waste_management_information,en,Solid Waste Management Information,building,label,any,f,फोहोरमैला व्यवस्थापनको जानकारी
35,building.label.swm_customer_id,en,SWM Customer ID,building,label,any,f,फोहोरमैला ग्राहक संकेत
36,building.label.sanitation_system_information,en,Sanitation System Information,building,label,any,f,सरसफाइ प्रणाली सम्बन्धि जानकारी
37,building.label.presence_of_toilet,en,Presence of Toilet,building,label,any,f,शौचालय छ कि छैन
38,building.label.number_of_toilets,en,Number of Toilets,building,label,any,f,शौचालयको संख्या
39,building.label.households_with_private_toilet,en,Households with Private Toilet,building,label,any,f,निजी शौचालय भएका घरपरिवारहरू
40,building.label.population_with_uses_private_toilet,en,Population with uses Private Toilet,building,label,any,f,निजी शौचालय प्रयोग गर्ने जनसंख्या
41,building.label.toilet_connection,en,Toilet Connection,building,label,any,f,शौचालय कहाँ जोडिएको छ
42,building.label.defecation_place,en,Defecation Place,building,label,any,f,खुल्ला दिसा गर्ने स्थान
43,building.label.bin_of_preconnected_building,en,BIN of Pre-Connected Building,building,label,any,f,जोडिएको मुख्य भवन को BIN
44,building.label.drain_code,en,Drain Code,building,label,any,f,नालीको संकेत
45,building.label.building_accessible_to_desludging_vehicle,en,Building Accessible to Desludging Vehicle,building,label,any,f,गाडी मार्फ़त खाली / दुवानी गर्न सकिने भवनहरु
46,building.label.containment_information,en,Containment Information,building,label,any,f,संकलन ट्याङ्की बारे जानकारी
47,building.label.tank_length,en,Tank Length (m),building,label,any,f,ट्याङ्कीको लम्बाइ (मी.)
48,building.label.tank_depth,en,Tank Depth (m),building,label,any,f,ट्याङ्कीको गहिराइ (मी.)
49,building.label.containment_construction_date,en,Containment Construction Date,building,label,any,f,संकलन ट्याङ्की निर्माण भएको मिति
50,building.label.functional_use,en,Functional Use,building,label,any,f,प्रयोगका कार्यहरु
51,building.label.sanitation_systems,en,Sanitation Systems,building,label,any,f,सरसफाइ प्रणालीहरू
52,building.label.emptying_status,en,Emptying Status,building,label,any,f,खाली गरिएको सेवाको अवस्था
53,building.label.ward,en,Ward,building,label,any,f,वडा
54,building.label.bin_of_main_building,en,BIN of Main Building,building,label,any,f,मुख्य भवनको BIN
55,building.label.use_category_of_building,en,Use Category of Building,building,label,any,f,भवनको प्रयोग
56,building.label.house_image,en,House Image,building,label,any,f,घरको फोटो
57,building.label.population_with_private_toilet,en,Population with Private Toilet,building,label,any,f,निजी शौचालय प्रयोग गर्ने जनसंख्या
58,building.label.community_toilet_name,en,Community Toilet Name,building,label,any,f,सामुदायिक शौचालयको नाम
59,building.label.use_category,en,Use Category,building,label,any,f,भवन प्रयोगका बर्गहरु
60,building.label.construction_date_from,en,Construction Date From,building,label,any,f,निर्माणको सुरु मिति
61,building.label.construction_date_to,en,Construction Date To,building,label,any,f,निर्माणको अन्त्य मिति
62,building.button.view_containments_connected_to_building,en,View Containments Connected to Building,building,button,any,f,भवनसँग जोडिएका संकलन ट्याङ्कीहरू सूचि
63,public_community_toilets.message.public_community_toilets_deleted_successfully,en,Public / Community Toilets Deleted successfully.,public_community_toilets,message,any,f,सार्वजनिक / सामुदायिक शौचालयहरू सफलतापूर्वक हटाइयो
64,public_community_toilets.message.failed_to_delete_public_community_toilets,en,Failed to delete Public / Community Toilets.,public_community_toilets,message,any,f,सार्वजनिक / सामुदायिक शौचालयहरू हटाउन असफल भयो
65,public_community_toilets.message.cannot_delete_community_toilet_that_has_associated_building_information,en,Cannot delete Community Toilet that has associated Building Information.,public_community_toilets,message,any,f,भवन जानकारी समावेश गरिएको सामुदायिक शौचालय हटाउन सकिँदैन
66,public_community_toilets.message.buildings_added_to_this_toilet,en,Buildings added to this toilet.,public_community_toilets,message,any,f,यस शौचालयसंग भवनहरू थपियो
67,public_community_toilets.message.failed_to_add_buildings,en,Failed to add buildings.,public_community_toilets,message,any,f,भवनहरू थप्न असफल भयो
68,public_community_toilets.message.building_deleted_successfully,en,Building Deleted Successfully,public_community_toilets,message,any,f,भवन सफलतापूर्वक हटाइयो
69,public_community_toilets.message.failed_to_delete_building,en,Failed to delete building.,public_community_toilets,message,any,f,भवन हटाउन असफल भयो
70,public_community_toilets.message.public_community_toilets_added_successfully,en,Public / Community Toilets Added Successfully.,public_community_toilets,message,any,f,सार्वजनिक / सामुदायिक शौचालयहरू सफलतापूर्वक थपिए
71,public_community_toilets.message.public_community_toilets_updated_successfully,en,Public / Community Toilets Updated Successfully.,public_community_toilets,message,any,f,सार्वजनिक / सामुदायिक शौचालयहरू सफलतापूर्वक अध्याबधिक गरियो
72,public_community_toilets.message.failed_to_update_ct_pt_general_info,en,Failed to update CT / PT General info.,public_community_toilets,message,any,f,सामुदायिक / सार्वजनिक शौचालयको सामान्य जानकारी अध्याबधिक गर्न असफल
73,ptct_users_log.message.pt_users_log_added_successfully,en,PT Users Log Added Successfully.,ptct_users_log,message,any,f,सार्वजनिक शौचालय प्रयोगकर्ता अभिलेख सफलतापूर्वक थपियो
74,ptct_users_log.message.pt_users_log_updated_successfully,en,PT Users Log Updated successfully.,ptct_users_log,message,any,f,सार्वजनिक शौचालय प्रयोगकर्ता अभिलेख सफलतापूर्वक अध्याबधिक गरियो
75,ptct_users_log.message.failed_to_update_info,en,Failed to update info.,ptct_users_log,message,any,f,जानकारी अध्यावधिक गर्न असफल
76,ptct_users_log.message.pt_users_log_deleted_successfully,en,PT Users Log Deleted Successfully.,ptct_users_log,message,any,f,सार्वजनिक शौचालय प्रयोगकर्ता अभिलेख सफलतापूर्वक हटाइयो
77,ptct_users_log.message.failed_to_delete_pt_users_log,en,Failed to delete PT Users Log.,ptct_users_log,message,any,f,सार्वजनिक शौचालय प्रयोगकर्ता अभिलेख हटाउन असफल भयो
78,water_samples.message.water_samples_created_successfully,en,Water Samples created successfully.,water_samples,message,any,f,खानेपानीको नमुनाको तथ्यांक सफलतापूर्वक सिर्जना गरियो
79,water_samples.message.water_samples_updated_successfully,en,Water Samples updated successfully.,water_samples,message,any,f,खानेपानीको नमुनाको तथ्यांक सफलतापूर्वक अध्याबधिक गरियो
80,water_samples.message.failed_to_update_water_samples,en,Failed to update Water Samples.,water_samples,message,any,f,खानेपानीको नमुनाको तथ्यांक अध्याबधिक गर्न असफल भयो
81,water_samples.message.water_samples_information_deleted_successfully,en,Water Samples Information deleted successfully.,water_samples,message,any,f,खानेपानी नमुनाको तथ्यांक सफलतापूर्वक हटाइयो
82,water_samples.message.failed_to_delete_water_samples_information,en,Failed to delete Water Samples Information.,water_samples,message,any,f,खानेपानी नमुनाको तथ्यांक हटाउन असफल भयो
83,waterborne_hotspot.message.waterborne_hotspot_deleted_successfully,en,Waterborne Hotspot deleted successfully.,waterborne_hotspot,message,any,f,पानीजन्य रोगको उच्च जोखिम क्षेत्र सफलतापूर्वक हटाइयो
84,waterborne_hotspot.message.failed_to_delete_hotspot_identification,en,Failed to delete Hotspot Identification.,waterborne_hotspot,message,any,f,पहिचान भएको उच्च जोखिम क्षेत्र हटाउन असफल भयो
85,waterborne_hotspot.message.waterborne_hotspot_created_successfully,en,Waterborne Hotspot created successfully.,waterborne_hotspot,message,any,f,पानीजन्य रोगको उच्च जोखिम क्षेत्र सफलतापूर्वक सिर्जना गरियो
86,waterborne_hotspot.message.failed_to_create_hotspot_identification,en,Failed to create Hotspot Identification.,waterborne_hotspot,message,any,f,पहिचान भएको उच्च जोखिम क्षेत्र सिर्जना गर्न असफल भयो
87,waterborne_hotspot.message.an_error_occurred,en,An error occurred:,waterborne_hotspot,message,any,f,केही त्रुटि भयो:
88,waterborne_hotspot.message.the_selected_area_should_be_within_the_city_boundary,en,The selected area should be within the City Boundary.,waterborne_hotspot,message,any,f,चयन गरिएको क्षेत्र सहरको सीमाभित्र हुनुपर्छ
89,waterborne_hotspot.message.waterborne_hotspot_updated_successfully,en,Waterborne Hotspot updated successfully.,waterborne_hotspot,message,any,f,पानीजन्य रोगको उच्च जोखिम क्षेत्र सफलतापूर्वक अध्याबधिक गरियो
90,waterborne_hotspot.message.failed_to_update_hotspot_identification,en,Failed to update Hotspot Identification.,waterborne_hotspot,message,any,f,पहिचान भएको उच्च जोखिम क्षेत्र अध्याबधिक गर्न असफल भयो
91,waterborne_cases_information.message.waterborne_cases_information_deleted_successfully,en,Waterborne Cases Information deleted successfully.,waterborne_cases_information,message,any,f,पानीजन्य रोगको विवरण सफलतापूर्वक हटाइयो
92,waterborne_cases_information.message.failed_to_delete_waterborne_cases_information,en,Failed to delete Waterborne Cases information.,waterborne_cases_information,message,any,f,पानीजन्य रोगको विवरण हटाउन असफल भयो
93,waterborne_cases_information.message.waterborne_cases_information_created_successfully,en,Waterborne Cases Information created successfully.,waterborne_cases_information,message,any,f,पानीजन्य रोग विवरण सफलतापूर्वक सिर्जना गरियो
94,waterborne_cases_information.message.failed_to_update_yearly_waterborne,en,Failed to update Yearly Waterborne.,waterborne_cases_information,message,any,f,वार्षिक पानीजन्य रोगको विवरण अध्याबधिक गर्न असफल भयो
95,users.message.user_created_successfully,en,User created successfully.,users,message,any,f,प्रयोगकर्ता सफलतापूर्वक सिर्जना गरियो
96,users.message.user_could_not_be_created,en,User could not be created.,users,message,any,f,प्रयोगकर्ता सिर्जना गर्न सकिएन
97,users.message.user_updated_successfully,en,User updated successfully.,users,message,any,f,प्रयोगकर्ता सफलतापूर्वक अध्याबधिक गरियो
98,users.message.user_could_could_be_updated,en,User could could be updated.,users,message,any,f,प्रयोगकर्ता अध्यावधिक गर्न सकिएन
99,users.message.user_deleted_successfully,en,User deleted successfully.,users,message,any,f,प्रयोगकर्ता सफलतापूर्वक हटाइयो
100,users.message.user_could_not_be_deleted,en,User could not be deleted.,users,message,any,f,प्रयोगकर्ता हटाउन सकिएन
101,roles.message.role_created_successfully,en,Role created successfully.,roles,message,any,f,प्रयोगकर्ताको भूमिका सफलतापूर्वक सिर्जना गरियो
102,roles.message.role_updated_successfully,en,Role updated successfully.,roles,message,any,f,प्रयोगकर्ताको भूमिका सफलतापूर्वक अध्याबधिक गरियो
103,roles.message.failed_to_update_role,en,Failed to update role.,roles,message,any,f,प्रयोगकर्ताको भूमिका अध्याबधिक गर्न असफल
104,roles.message.role_deleted_successfully,en,Role deleted successfully.,roles,message,any,f,प्रयोगकर्ताको भूमिका सफलतापूर्वक हटाइयो
105,roles.message.failed_to_delete_role,en,Failed to delete role.,roles,message,any,f,प्रयोगकर्ताको भूमिका हटाउन असफल
106,map.message.cancelled,en,Cancelled,map,message,any,f,रद्द गरियो
107,map.message.click_to_continue_drawing_the_line,en,Click to continue drawing the line.,map,message,any,f,रेखा कोर्ने कार्य जारी राख्न क्लिक गर्नुहोस्
108,map.message.click_to_continue_drawing_the_polygon,en,Click to continue drawing the polygon.,map,message,any,f,बहुभुज कोर्ने कार्य जारी राख्न क्लिक गर्नुहोस्
109,map.message.float_values_are_not_accepted,en,Float values are not accepted.,map,message,any,f,दशमलव पछि अंकहरु स्वीकार्य छैनन्
110,map.message.invalid_input,en,Invalid Input.,map,message,any,f,इनपुटको प्रकार मिलेन
111,map.message.invalid_input_for_number_of_days,en,Invalid input for number of days!,map,message,any,f,दिनगन्तीको लागी इनपुटको प्रकार मिलेन
112,map.message.negative_numbers_are_not_allowed,en,Negative numbers are not allowed.,map,message,any,f,ऋणात्मक अंक स्वीकार्य छैन
113,map.message.no_results_found,en,No Results Found.,map,message,any,f,कुनै नतिजा फेला परेन
114,map.message.number_of_applications_on,en,Number of applications on,map,message,any,f,यसमा परेको निवेदनहरूको संख्या
115,map.message.number_of_containments_proposed_to_be_emptied_in_the_next_few_days,en,Number of containments proposed to be emptied in the next few days:,map,message,any,f,केही दिनभित्र खाली गर्न प्रस्ताव गरिएका संकलन ट्याङ्कीहरूको संख्या:
116,map.message.number_of_containments_proposed_to_be_emptied_next_week,en,Number of containments proposed to be emptied next week:,map,message,any,f,अर्को हप्तामा खाली गर्न प्रस्ताव गरिएका संकलन ट्याङ्कीहरूको संख्या:
117,map.message.number_of_containments_proposed_to_be_emptied_on,en,Number of containments proposed to be emptied on,map,message,any,f,खाली गर्न प्रस्ताव गरिएको संकलन ट्याङ्कीहरूको संख्या
118,map.message.please_check_one_or_more_options,en,Please check one or more options!,map,message,any,f,कृपया एक वा बढी विकल्पहरू हेर्नुहोस
119,map.message.please_draw_a_roadline_before_saving,en,Please draw a roadline before saving!,map,message,any,f,कृपया सुरक्षित गर्नु अघि सडकको रेखा कोर्नुहोस्
120,map.message.please_enter,en,Please enter.,map,message,any,f,कृपया जानकारी भर्नुहोस
121,map.message.please_enter_a_valid_buffer_distance,en,Please enter a valid Buffer Distance.,map,message,any,f,कृपया सहि बफर दूरी प्रयोग गर्नुहोस्
122,map.message.road_network_updated_successfully,en,Road Network updated successfully.,map,message,any,f,सडक सञ्जाल सफलतापूर्वक अध्याबधिक गरियो
123,map.message.road_added_successfully,en,Road(s) added successfully.,map,message,any,f,सडक(हरू) सफलतापूर्वक थपियो
124,building_dashboard.name.building_dashboard,en,Building Dashboard,building_dashboard,name,any,f,भवनको ड्यासबोर्ड
125,building_dashboard.countbox.total_buildings,en,Total Buildings,building_dashboard,countbox,any,f,भवनहरू
126,building_dashboard.countbox.residential,en,Residential,building_dashboard,countbox,any,f,आवासीय
127,building_dashboard.countbox.commercial,en,Commercial,building_dashboard,countbox,any,f,व्यावसायिक
128,building_dashboard.countbox.industrial,en,Industrial,building_dashboard,countbox,any,f,औद्योगिक
129,building_dashboard.countbox.mixed,en,Mixed,building_dashboard,countbox,any,f,मिश्रित
130,building_dashboard.countbox.institution,en,Institution,building_dashboard,countbox,any,f,संस्था
131,building_dashboard.countbox.educational,en,Educational,building_dashboard,countbox,any,f,शैक्षिक
132,building_dashboard.countbox.septic_tank,en,Septic Tank,building_dashboard,countbox,any,f,सेप्टिक ट्यांक
133,building_dashboard.countbox.pit_holding_tank,en,Pit/Holding Tank,building_dashboard,countbox,any,f,खाडल / होल्डिंग ट्यांक
134,building_dashboard.countbox.onsite_treatment,en,Onsite Treatment,building_dashboard,countbox,any,f,स्थलगत प्रशोधन
135,building_dashboard.countbox.composting_toilets,en,Composting Toilets,building_dashboard,countbox,any,f,कम्पोस्टिङ शौचालय
136,building_dashboard.countbox.shared_toilets,en,Shared Toilets,building_dashboard,countbox,any,f,साझा शौचालय
137,building_dashboard.charts.wardwise_distribution_of_buildings,en,Wardwise Distribution of Buildings,building_dashboard,charts,any,f,वडागत भवनहरूको वितरण
138,building_dashboard.charts.building_use_composition,en,Building Use Composition,building_dashboard,charts,any,f,भवन संरचनाको प्रकारहरु
139,building_survey.building.building_survey,en,Building Survey,building_survey,building,any,f,भवनको सर्वेक्षण
140,building_survey.label.survey_date,en,Survey Date,building_survey,label,any,f,सर्वेक्षणको मिति
141,building_survey.button.approve_building_structure,en,Approve Building Structure,building_survey,button,any,f,भवन संरचना स्वीकृत गर्नुहोस्
142,building_survey.button.preview_building_location,en,Preview Building Location,building_survey,button,any,f,भवनको स्थान पूर्वावलोकन गर्नुहोस्
143,building_survey.button.download_building_kml_file,en,Download Building KML File,building_survey,button,any,f,भवनको KML फाइल डाउनलोड गर्नुहोस्
144,map.message.roads_added_would_be_lost,en,Roads added would be lost!,map,message,any,f,थपिएका सडकहरू हराउने छन्
145,map.message.saved,en,Saved!,map,message,any,f,सुरक्षीत गरियो
146,map.message.unsupported_format,en,Unsupported format:,map,message,any,f,नमिलेको ढाँचा:
147,general.message.confirm_password,en,Confirm Password,general,message,any,f,पासवर्ड पुष्टि गर्नुहोस्
148,general.message.the_status_is_required,en,The Status is required.,general,message,any,f,स्थिति आवश्यक छ
149,general.message.the_password_is_required_when_create_user_is_on,en,The Password is required when create user is on.,general,message,any,f,नया प्रयोगकर्ता सिर्जना गर्दा पासवर्ड आवश्यक छ
150,general.message.the_confirm_password_does_not_match_the_password,en,The Confirm Password does not match the Password.,general,message,any,f,"पुन: राखिएको पासवर्ड, पहिलो पासवर्डसंग मिल्नुपर्छ"
151,low_income_community.name.low_income_community,en,Low Income Community,low_income_community,name,any,f,न्यून आय समुदाय
152,low_income_community.button.add_low_income_community,en,Add Low Income Community,low_income_community,button,any,f,न्यून आय समुदाय थप्नुहोस्
153,low_income_community.name.edit_low_income_community,en,Edit Low Income Community,low_income_community,name,any,f,न्यून आय समुदाय सम्पादन गर्नुहोस्
154,low_income_community.name.low_income_community_details,en,Low Income Community Details,low_income_community,name,any,f,न्यून आय समुदायको विवरण
155,low_income_community.label.community_name,en,Community Name,low_income_community,label,any,f,समुदायको नाम
156,low_income_community.label.no_of_buildings,en,No. of Buildings,low_income_community,label,any,f,भवनहरूको संख्या
157,low_income_community.label.population,en,Population,low_income_community,label,any,f,जनसंख्या
158,low_income_community.label.no_of_households,en,No. of Households,low_income_community,label,any,f,घरधुरी संख्या
159,low_income_community.label.no_of_septic_tanks,en,No. of Septic Tanks,low_income_community,label,any,f,सेप्टिक ट्याङ्कको संख्या
160,low_income_community.label.no_of_holding_tanks,en,No. of Holding Tanks,low_income_community,label,any,f,होल्डिङ ट्याङ्कको संख्या
161,low_income_community.label.no_of_pits,en,No. of Pits,low_income_community,label,any,f,खाडलको संख्या
162,low_income_community.label.no_of_sewer_connection,en,No. of Sewer Connections,low_income_community,label,any,f,ढल जडानहरूको संख्या
163,low_income_community.label.no_of_community_toilets,en,No. of Community Toilets,low_income_community,label,any,f,सामुदायिक शौचालयहरूको संख्या
164,low_income_community.label.area,en,Area,low_income_community,label,any,f,क्षेत्रफल
165,general.message.are_you_sure,en,Are you sure?,general,message,any,f,के तपाईं निश्चित हुनुहुन्छ
166,general.message.you_won't_be_able_to_revert_this,en,You won't be able to revert this!,general,message,any,f,तपाईंले यसलाई फर्काउन सक्नुहुन्न
167,general.message.yes_delete_it,en,"Yes, delete it!",general,message,any,f,"हो, हटाउनहोस्"
168,general.message.the_name_field_should_contain_only_contain_letters_and_spaces,en,The name field should contain only contain letters and spaces.,general,message,any,f,नाम फिल्डमा अक्षरहरू र खाली स्थानहरू मात्र समावेश गर्नु पर्दछ
169,general.message.the_length_must_be_a_number,en,The Length (m) must be a number.,general,message,any,f,लम्बाइ (मी.) अंकमा हुनुपर्छ
170,general.message.the_diameter_must_be_a_number,en,The Diameter must be a number.,general,message,any,f,व्यास अंकमा हुनुपर्छ
171,building.validation.owner_name_is_required,en,Owner Name is required.,building,validation,any,f,घरधनीको नाम आवश्यक छ
172,building.validation.owner_contact_should_be_integer_value,en,Owner Contact should be integer value.,building,validation,any,f,घरधनीको सम्पर्क नम्बर अंकमा हुनुपर्छ
173,building.validation.owner_gender_is_required,en,Owner Gender is required.,building,validation,any,f,घरधनीको लिंग आवश्यक छ
174,building.validation.owner_contact_number_is_required,en,Owner Contact Number is required.,building,validation,any,f,घरधनीको सम्पर्क नम्बर आवश्यक छ
175,building.validation.the_main_building_is_required,en,The Main Building is required.,building,validation,any,f,मुख्य भवन आवश्यक छ
176,building.validation.the_bin_of_main_building_is_required,en,The BIN of Main Building is required.,building,validation,any,f,मुख्य भवनको BIN आवश्यक छ
177,building.validation.ward_number_is_required,en,Ward Number is required.,building,validation,any,f,वडा नम्बर आवश्यक छ
178,building.validation.number_of_floors_is_required,en,Number of Floors is required.,building,validation,any,f,तल्लाहरूको संख्या आवश्यक छ
179,building.validation.tax_code_holding_id_is_required,en,Tax Code/Holding ID is required.,building,validation,any,f,कर / होल्डिङ संकेत नम्बर आवश्यक छ
180,building.validation.road_code_is_required,en,Road Code is required.,building,validation,any,f,सडक संकेत नम्बर आवश्यक छ
181,building.validation.structure_type_is_required,en,Structure Type is required.,building,validation,any,f,संरचनाको प्रकार आवश्यक छ
182,building.validation.functional_use_of_building_is_required,en,Functional Use of Building is required.,building,validation,any,f,भवनको प्रयोग उद्देश्य आवश्यक छ
183,building.validation.the_house_number_is_already_taken,en,The House Number is Already Taken.,building,validation,any,f,यो घर नम्बर पहिले नै लिइसकिएको छ
184,building.validation.the_main_building_status_required,en,The Main Building status required.,building,validation,any,f,मुख्य भवनको स्थिति आवश्यक छ
185,building.validation.the_house_number_is_taken,en,The House Number is Taken.,building,validation,any,f,घर नम्बर प्रयोग भै सकेको छ
186,building.validation.the_differently_abled_male_population_must_not_exceed_the_male_population,en,The Differently Abled Male Population must not exceed the Male Population.,building,validation,any,f,"फरक क्षमतायुक्त पुरुष जनसंख्या, कुल पुरुष जनसंख्या भन्दा बढी हुन सक्दैन"
187,building.validation.the_differently_abled_female_population_must_not_exceed_the_female_population,en,The Differently Abled Female Population must not exceed the Female Population.,building,validation,any,f,"फरक क्षमतायुक्त महिला जनसंख्या, कुल महिला जनसंख्या भन्दा बढी हुन सक्दैन"
188,building.validation.the_differently_abled_other_population_must_not_exceed_the_other_population,en,The Differently Abled Other Population must not exceed the Other Population.,building,validation,any,f,"फरक क्षमतायुक्त अन्य जनसंख्या, कुल अन्य जनसंख्या भन्दा बढी हुन सक्दैन"
189,building.validation.building_construction_date_is_required,en,Building Construction Date is required.,building,validation,any,f,भवन निर्माण मिति आवश्यक छ
190,building.validation.is_low_income_house_is_required,en,Is Low Income House is required.,building,validation,any,f,यो घर न्यून आय हो होइन भन्ने जानकारी आवश्यक छ
191,building.validation.lic_name_is_required,en,LIC Name is required.,building,validation,any,f,न्यून आय समुदाय को नाम आवश्यक छ
192,containments.name.containments,en,Containments,containments,name,any,f,संकलन ट्याङ्कीहरू
193,containments.name.edit_containments,en,Edit Containments,containments,name,any,f,संकलन ट्याङ्कीहरू सम्पादन गर्नुहोस्
194,containments.name.containments_details,en,Containments Details,containments,name,any,f,संकलन ट्याङ्कीहरूको विवरण
195,emptying_operator.label.(max_5mb),en,(Max 5MB),emptying operator,label,mobile,f,(अधिकतम ५ MB)
196,containments.label.bin_of_connected_building,en,BIN of Connected Building,containments,label,any,f,जोडिएको भवनको BIN
197,containments.label.containment_location,en,Containment Location,containments,label,any,f,संकलन ट्याङ्कीको स्थान
198,containments.label.containment_type,en,Containment Type,containments,label,any,f,संकलन ट्याङ्कीको प्रकार
199,containments.label.septic_tank_standard_compliance,en,Septic Tank Standard Compliance,containments,label,any,f,सेप्टिक ट्याङ्क मापदण्डको पालना
200,containments.label.house_number_of_connected_building,en,House Number of Connected Building,containments,label,any,f,जोडिएको गरिएको भवनको घर नम्बर
201,containments.label.pit_shape,en,Pit Shape,containments,label,any,f,खाडल आकार
202,containments.button.export_buildings_containments_to_csv,en,Export Buildings-Containments to CSV,containments,button,any,f,भवन - संकलन ट्याङ्की CSV मा एक्सपोर्ट गर्नुहोस्
203,containments.button.view_building_connected_to_containment,en,View Building Connected to Containment,containments,button,any,f,ट्याङ्की जोडिएको भवन हेर्नुहोस्
204,containments.button.type_change_history,en,Type Change History,containments,button,any,f,प्रकार परिवर्तन भएको अभिलेख
205,containments.button.emptying_service_history,en,Emptying Service History,containments,button,any,f,खाली गर्ने कार्यको अभिलेख
206,building.validation.main_drinking_water_source_is_required,en,Main Drinking Water Source is required.,building,validation,any,f,खानेपानीको मुख्य श्रोत आवश्यक छ
207,building.validation.water_supply_pipe_line_code_is_required,en,Water Supply Pipe Line Code is required.,building,validation,any,f,खानेपानी बितरण पाइप को संकेत आवश्यक छ
208,building.validation.presence_of_toilet_is_required,en,Presence of Toilet is required.,building,validation,any,f,शौचालय हुनु अनिवार्य छ
209,building.validation.community_toilet_name_is_required,en,Community Toilet Name is required.,building,validation,any,f,सामुदायिक शौचालयको नाम हुनु आवश्यक छ
210,building.validation.building_footprint_is_required,en,Building Footprint (KML) is required.,building,validation,any,f,भवनको फुटप्रिन्ट (KML) आवश्यक छ
211,building.validation.number_of_floors_should_be_numeric_value,en,Number of Floors should be numeric value.,building,validation,any,f,भवनको तला अंकमा हुनु आवश्यक छ
212,building.validation.use_category_of_building_is_required,en,Use Category of Building is required.,building,validation,any,f,भवनको प्रयोग वर्ग हुनु आवश्यक छ
213,building.validation.tank_depth_should_be_numeric_value,en,Tank Depth should be numeric value.,building,validation,any,f,ट्याङ्कीको गहिराइ अंकमा हुनु आवश्यक छ
214,fsm_dashboard.name.fsm_servies,en,FSM Servies,fsm_dashboard,name,any,f,FSM सेवाहरू
215,fsm_dashboard.countbox.applications,en,Applications,fsm_dashboard,countbox,any,f,आवेदनहरू
216,fsm_dashboard.countbox.applications_responded,en,Applications Responded,fsm_dashboard,countbox,any,f,सेवा प्रदान गरिएको संख्या
217,fsm_dashboard.countbox.number_of_containments_emptied,en,Number of Containments Emptied,fsm_dashboard,countbox,any,f,खाली गरिएको संकलन ट्याङ्कीको संख्या
218,fsm_dashboard.countbox.volume_of_sludge_emptied,en,Volume of Sludge Emptied (mÂ³),fsm_dashboard,countbox,any,f,खाली गरिएको स्लजको मात्रा (घ.मी.)
